name,latitude,longitude,extra.slots
Chilco & Barclay,49.291909,-123.140713,18
St George & Broadway,49.262321,-123.09306,14
Britannia Parking Lot,49.275882,-123.071865,14
Morton & Denman,49.28803,-123.142135,0
Thornton & National,49.273777,-123.092723,14
Burrard & 14th,49.259469,-123.145718,18
Olympic Village Station,49.266314,-123.116011,20
8th & Macdonald,49.264928,-123.168068,20
30th & Ontario,49.243375,-123.104978,22
Lakewood & Triumph,49.283968,-123.061615,16
13th & Cambie,49.259579,-123.114769,14
Arbutus & Nanton,49.247854,-123.153422,18
14th & Fraser,49.257939,-123.089531,16
15th & Victoria (Trout Lake),49.256857,-123.065646,18
Robson & Hornby,49.282758,-123.122092,21
Cardero & Robson,49.289255,-123.132677,26
10th & Fraser,49.26151,-123.089413,14
Ontario & 5th,49.266724,-123.104824,20
Heather & 16th,49.256845,-123.120071,12
Richards & Smithe,49.279259,-123.119145,18
Robson & Beatty,49.277773,-123.114237,20
Maple Tree Square,49.283482,-123.103738,25
22nd & Main,49.25094,-123.101306,14
Carrall & Seawall,49.276294,-123.106534,18
Charles & Woodland,49.2731,-123.0732,14
1st & Manitoba,49.27023,-123.10651,28
St Catherines & 7th,49.264466,-123.085183,20
Triumph & Victoria,49.283986,-123.065264,16
18th & Main,49.254667,-123.101389,16
St Catherines & 10th,49.261353,-123.085333,0
Nelson & Richards,49.277844,-123.120942,18
Arbutus & 10th,49.262835,-123.152626,18
Comox & Denman,49.288444,-123.139203,18
Prince Edward & 14th,49.258352,-123.096337,14
Alexander & Railway,49.283992,-123.091206,12
Chilco & Beach,49.28972,-123.144028,14
Richards & Cordova,49.284554,-123.111031,10
Orchard Commons,49.259999,-123.250902,26
Strangway Building,49.2661,-123.24568,24
Yew & Broadway,49.263523,-123.155267,18
Woodland & 10th,49.261263,-123.073707,14
Ontario & 16th,49.256825,-123.105234,14
14th & Alder,49.258819,-123.131317,14
Chestnut & McNicoll,49.275938,-123.145939,16
Dunbar & 6th,49.266636,-123.183661,16
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,17
Yaletown-Roundhouse Station,49.274566,-123.121817,16
Smithe & Burrard,49.282503,-123.124697,18
Abbott & Cordova,49.282759,-123.106955,22
Sasamat & 10th,49.264019,-123.209176,22
Vine & 4th,49.268339,-123.157443,18
10th & Ontario,49.262062,-123.104656,20
Pine & 10th,49.262822,-123.14338,20
Cordova & Granville,49.28567,-123.112543,18
Canada Place,49.28725,-123.11298,26
Wallace & 4th,49.268974,-123.190701,18
Denman & Bayshore,49.293264,-123.132861,22
Pacific & Richards,49.273663,-123.127075,14
7th &  Alder,49.265198,-123.131043,16
Jervis & Robson,49.286646,-123.129232,20
Heather & 18th,49.255034,-123.120226,16
14th & Oak,49.258761,-123.127071,14
Bute & Comox,49.283343,-123.131099,22
Comox & Broughton,49.285253,-123.134356,12
Station & Terminal,49.272172,-123.097978,18
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,38
Woodland & 4th,49.266751,-123.073501,14
8th & Ash,49.264215,-123.117772,16
Burrard & Drake,49.27808,-123.130557,24
10th & Kingsway,49.261973,-123.09725,20
Beach & Hornby,49.27551,-123.13307,22
Hawks & Union,49.277333,-123.087359,16
Marinaside & Cooperage,49.273833,-123.114373,27
Alberni & Jervis,49.28763,-123.127245,20
7th & Arbutus,49.265605,-123.152566,16
14th & Ontario,49.25849,-123.104799,16
King Edward & Cambie,49.249184,-123.116141,18
1st & Fir,49.270783,-123.141564,20
Arbutus & 16th,49.257654,-123.153212,40
28th & Willow,49.246243,-123.124373,20
Arbutus Greenway & Fir,49.266774,-123.141135,16
West Mall Swing Space Building,49.263073,-123.254307,20
McLean & Pender,49.280427,-123.074082,16
Bute & Barclay,49.284893,-123.128685,30
Balsam & Cornwall,49.273011,-123.159663,18
Hastings & Broughton,49.290112,-123.127062,24
Seymour & Cordova,49.28512,-123.11242,19
Alder & 11th,49.261742,-123.13148,14
10th & Columbia,49.262206,-123.109091,14
Heather & 14th,49.259183,-123.120126,16
Commercial & 20th,49.252656,-123.067965,20
Kitsilano Beach Park,49.273355,-123.154493,36
Rolston & Granville,49.274232,-123.129998,22
Cordova & Bute,49.289124,-123.12196,14
12th & Yukon (City Hall),49.260599,-123.113504,12
Blenheim & 4th,49.268837,-123.177633,23
Wylie & 2nd,49.267725,-123.11311,18
Thurlow & Pendrell,49.280881,-123.130672,16
14th & Cambie,49.258763,-123.115392,14
Granville & Georgia,49.282409,-123.118541,20
Grant & Commercial,49.271377,-123.069416,14
8th & Ontario,49.263837,-123.105173,16
Hornby & Nelson,49.28062,-123.12482,18
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,28
Dunsmuir & Beatty,49.279764,-123.110154,26
Robson & Granville,49.281506,-123.120101,24
4th & Commercial,49.266969,-123.069936,14
8th & Scotia,49.263635,-123.099236,12
Heather & 10th,49.26213,-123.11989,22
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,20
7th & Granville,49.2653,-123.13811,14
Harwood & Bute,49.28026,-123.135244,20
Thunderbird & Thunderbird,49.25976,-123.2479,20
Creekside Park North,49.2756,-123.102661,18
10th & Commercial,49.261403,-123.070102,26
10th & Cambie,49.262487,-123.114397,35
Quebec & 1st,49.27033,-123.10275,18
Lakewood & Oxford,49.285575,-123.061575,18
Carolina & Great Northern Way,49.267266,-123.090786,16
Columbia & 5th,49.266476,-123.109389,18
East Blvd & 37th,49.238105,-123.154966,20
Trafalgar & Cornwall,49.272969,-123.164325,20
5th & Arbutus,49.267222,-123.153157,16
Stanley Park - Information Booth,49.297933,-123.130758,20
14th & Main,49.258425,-123.100792,14
Georgia & Main,49.278529,-123.100017,20
Agronomy & East Mall,49.261736,-123.24648,18
Alma & Point Grey,49.27247,-123.185643,24
20th & Main,49.252691,-123.101289,16
Nelson & Mainland,49.276436,-123.11877,20
Point Grey & Blenheim,49.271471,-123.17731,14
Yukon & 6th,49.265939,-123.1129,18
Burrard & 7th,49.265336,-123.145823,16
14th & Granville,49.25894,-123.139272,14
Wall & Eton,49.287464,-123.060771,18
Beach & Cardero,49.283298,-123.142288,22
Cypress & 4th,49.268269,-123.147885,18
Richards & Robson,49.280216,-123.117639,20
Glen & Union,49.277469,-123.081315,14
8th & Yukon,49.263962,-123.112621,24
1st & Chestnut,49.270721,-123.146175,26
10th & Main,49.262141,-123.101961,18
Georgia & Homer,49.280787,-123.115271,18
York & Yew,49.271741,-123.155421,20
War Memorial Gym,49.266579,-123.248549,28
Totem Park,49.2585,-123.2521,24
Ontario & Seawall,49.271721,-123.104207,20
10th & Granville,49.262598,-123.138921,14
15th & Knight,49.256496,-123.075426,14
Ontario & 23rd,49.249722,-123.104991,12
Dunbar & Broadway,49.264579,-123.18373,26
Carrall & Hastings,49.28117,-123.104419,18
8th & Commercial,49.263242,-123.070521,20
Charleson Park,49.267628,-123.127698,14
Princess & Union,49.277615,-123.091654,12
Stanley Park - Second Beach South,49.294318,-123.148808,18
6th & Carolina,49.265213,-123.090785,16
UBC Bookstore,49.265207,-123.250139,12
Balaclava & Broadway,49.264483,-123.173926,18
Expo & Carrall,49.278004,-123.105664,16
Beach & Seymour,49.273568,-123.129935,18
27th & Main,49.247204,-123.101549,22
Stanley Park - Second Beach North,49.29534,-123.150433,16
Keith & 6th,49.265005,-123.079481,28
Jericho Beach,49.271221,-123.191133,26
Point Grey & Bayswater,49.271044,-123.170661,16
7th & Woodland,49.264251,-123.073853,12
Aquatic Centre,49.27821,-123.136972,40
Vanier Park,49.275717,-123.142564,28
Trafalgar & Broadway,49.264326,-123.164725,16
Napier & Commercial,49.274881,-123.069323,14
7th & Laurel,49.265071,-123.123864,14
Science World,49.273691,-123.102232,16
Pender & Victoria,49.280197,-123.065859,16
Cypress & 16th,49.25741,-123.148531,12
Spyglass & Seawall,49.270877,-123.115103,14
Keefer & Hawks,49.279235,-123.087528,16
29th & Cambie,49.245135,-123.116098,20
Victoria & 10th,49.261188,-123.066009,12
Commercial & Adanac,49.277436,-123.070427,16
Columbia & 14th,49.258902,-123.109596,14
Dunsmuir & Richards,49.282214,-123.114101,22
Campbell & Hastings,49.280852,-123.084746,14
Franklin & Nanaimo,49.282087,-123.056909,20
Charles & Commercial,49.273103,-123.069892,22
1st & Scotia,49.268503,-123.097501,20
Nelson & Denman,49.289071,-123.138407,18
Beatty & Nelson,49.275679,-123.116963,14
Trimble & 8th,49.2658,-123.20596,20
David Lam Park,49.270905,-123.126006,18
Burrard & 4th,49.267859,-123.145782,16
Cypress & Cornwall,49.272827,-123.147744,22
Keefer & Princess,49.279369,-123.091241,14
qəlɬaləməcən leləm | Orca House,49.26875,-123.25004,22
Bidwell & Burnaby,49.28526,-123.141809,68
11th & Kingsway,49.261122,-123.097571,16
Pender & Burrard,49.287097,-123.118551,26
Columbia & 1st,49.269969,-123.109623,24
Melville & Bute,49.287782,-123.12395,14
Anderson & 2nd,49.269361,-123.13782,28
5th & Main,49.266456,-123.100324,20
Alexander & Dunlevy,49.284062,-123.095097,14
13th & St George,49.258817,-123.092797,16
Commercial & Pandora,49.283236,-123.070443,16
Quebec & 3rd,49.26853,-123.10266,20
Grandview & Commercial,49.263746,-123.069892,16
Expo & Smithe,49.276115,-123.114496,14
Cypress & 14th,49.25919,-123.148268,12
Brock Commons,49.269172,-123.25279,20
Beach & Broughton,49.281301,-123.139108,22
Arbutus Greenway & 14th,49.258924,-123.152591,20
Alexander & Main,49.284157,-123.099917,20
Hornby & Drake,49.277178,-123.13,24
Highbury & 8th,49.265442,-123.187738,20
Pharmaceutical Sciences,49.26262,-123.2431,24
Haro & Denman,49.290587,-123.13625,20
Windsor & 14th,49.257985,-123.083366,14
Prince Edward & 16th,49.256694,-123.096579,14
Cardero & Davie,49.285512,-123.1384,18
Stamps Landing,49.26893,-123.11813,14
Marinaside & Davie,49.273471,-123.118016,22
Adanac & McLean,49.277665,-123.073653,22
Bute & Davie,49.282055,-123.133045,20
Victoria & 4th,49.266725,-123.065925,16
Heather & 29th,49.245535,-123.120496,22
McNicoll & Arbutus,49.276292,-123.150592,30
IK Barber Learning Centre,49.267561,-123.252261,20
Granville Island,49.27029,-123.135025,32
6th & Prince Edward,49.265242,-123.095577,16
Broughton & Davie,49.283749,-123.136133,22
Adanac & Lakewood,49.27751,-123.061429,20
Cypress & 10th,49.262944,-123.148109,14
Thunderbird Parkade,49.261655,-123.241924,18
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,28
22nd & Cambie,49.251358,-123.115637,14
Glen & Broadway,49.262242,-123.081459,18
Nicola & Robson,49.288506,-123.131238,18
Stanley Park - Totem Poles,49.298657,-123.121176,20
Davie & Beach,49.287528,-123.142139,30
Pender & Gore,49.280284,-123.097052,14
Richards & Davie,49.275683,-123.124388,14
Pender & Commercial,49.280332,-123.070068,16
18th & Cambie,49.254818,-123.114785,24
2nd & Commercial,49.268616,-123.069908,22
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,28
Chilco & Robson,49.293257,-123.138563,20
Keefer & Columbia,49.279342,-123.101822,14
Rogers Tower,49.288682,-123.11818,18
Woodland & Graveley,49.270684,-123.073562,12
Cardero & Bayshore,49.291597,-123.129158,20
8th & Fraser,49.263382,-123.088837,16
Spanish Banks East,49.27594,-123.21482,20
Balaclava & 6th,49.266924,-123.173849,16
Cambie & Water,49.284605,-123.108662,32
Helmcken & Burrard,49.279938,-123.127478,16
Hornby & Pender,49.28602,-123.116624,22
7th & Heather,49.265089,-123.119425,18
Union & Dunlevy,49.277595,-123.09583,16
Richards & Helmcken,49.277141,-123.122589,18
Keefer & Abbott,49.279821,-123.10802,28
8th & Prince Edward,49.263518,-123.09568,18
